epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11333.7,0.36186,0.14429,0.82946,0.99484,0.9959,0.99493,0.98191,0.26781,0.12049,0.78765,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,11684.5,0.35358,0.14134,0.82881,0.99607,0.99503,0.9949,0.98158,0.26814,0.09776,0.7878,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,12035.3,0.35349,0.14514,0.82747,0.99423,0.99433,0.99494,0.98123,0.26886,0.11558,0.78985,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,12385.9,0.35505,0.14249,0.82711,0.99642,0.99544,0.99491,0.98191,0.26669,0.13711,0.78776,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12736.9,0.34818,0.14021,0.82746,0.9959,0.99573,0.99495,0.98187,0.26659,0.10926,0.78876,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,13087.3,0.35068,0.13962,0.82692,0.99645,0.99538,0.99499,0.98211,0.26551,0.1175,0.78964,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,13438.1,0.34659,0.1418,0.82647,0.99489,0.99625,0.99496,0.98254,0.26443,0.10286,0.78916,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,13788.9,0.34483,0.1364,0.82536,0.99634,0.99607,0.99498,0.98317,0.26163,0.11148,0.78776,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,14139.8,0.34209,0.13601,0.82654,0.99348,0.99694,0.99496,0.98314,0.25998,0.1169,0.78752,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,14490.5,0.33916,0.1368,0.82477,0.9969,0.99546,0.99494,0.98323,0.26054,0.12496,0.78812,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,14841,0.33684,0.13778,0.82267,0.9959,0.9954,0.99496,0.98362,0.25529,0.0918,0.78418,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,15191.6,0.33434,0.13607,0.82244,0.99672,0.99599,0.99498,0.98313,0.26033,0.09463,0.78638,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,15541.8,0.33315,0.13069,0.82322,0.99595,0.99677,0.9949,0.98362,0.25633,0.1219,0.78331,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,15893,0.33223,0.1316,0.82205,0.99659,0.99703,0.99489,0.9831,0.25694,0.11676,0.78292,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,16244,0.3296,0.13651,0.8195,0.99635,0.99599,0.99492,0.98399,0.25538,0.12434,0.78479,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,16595.1,0.32781,0.12995,0.82173,0.99599,0.9956,0.99488,0.98333,0.25717,0.12868,0.78425,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,16945.9,0.32581,0.13141,0.82028,0.99755,0.99651,0.99494,0.98386,0.25498,0.10678,0.78471,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,17296.8,0.32294,0.12643,0.8187,0.99786,0.99695,0.99498,0.98418,0.25553,0.09273,0.78148,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,17647.4,0.32199,0.12749,0.82064,0.99625,0.99674,0.99495,0.98429,0.2543,0.10511,0.78552,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,17998.6,0.32073,0.12603,0.81946,0.99737,0.99669,0.99494,0.9844,0.25254,0.11739,0.78289,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,18349.5,0.32019,0.12557,0.82026,0.99764,0.99773,0.99493,0.98429,0.25362,0.09478,0.78482,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,18700.8,0.32109,0.12631,0.81752,0.99572,0.99747,0.99492,0.98437,0.25092,0.11969,0.78084,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,19052,0.31864,0.12606,0.81629,0.99703,0.9963,0.9949,0.98406,0.25162,0.12225,0.78097,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,19403.2,0.30825,0.1225,0.81589,0.9979,0.99633,0.99488,0.98441,0.25146,0.12722,0.7807,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,19754.7,0.30992,0.12128,0.81564,0.99695,0.99749,0.9949,0.98472,0.24936,0.12157,0.78094,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,20105.7,0.30949,0.12033,0.81604,0.99776,0.99765,0.99494,0.98493,0.24957,0.1183,0.78195,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,20456.7,0.30561,0.12001,0.81522,0.99845,0.99642,0.99495,0.98492,0.24936,0.11517,0.78306,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,20807.2,0.30566,0.11783,0.81486,0.99832,0.99695,0.99497,0.98522,0.24828,0.09941,0.78159,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,21158.7,0.30086,0.11941,0.81472,0.99764,0.99711,0.99494,0.98514,0.24707,0.09205,0.78197,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,21509.6,0.30152,0.11826,0.81474,0.99686,0.99549,0.99494,0.98484,0.24554,0.08692,0.78095,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,21860.6,0.30196,0.11862,0.81437,0.99602,0.9973,0.99493,0.98487,0.24735,0.09756,0.78163,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,22211.1,0.29781,0.117,0.81385,0.99692,0.99826,0.99494,0.98498,0.24771,0.08766,0.7818,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,22561.7,0.29788,0.11974,0.81404,0.99773,0.99686,0.99494,0.98481,0.2485,0.08932,0.78233,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,22912.7,0.29509,0.11516,0.81222,0.99747,0.99772,0.99494,0.9851,0.24821,0.09907,0.78203,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,23263.2,0.29143,0.11497,0.81256,0.99764,0.99733,0.99494,0.98517,0.24743,0.09722,0.78154,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,23613.8,0.29324,0.11762,0.8119,0.99686,0.99564,0.99495,0.98467,0.24678,0.10834,0.78035,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,23964.1,0.29033,0.11708,0.81242,0.99665,0.99651,0.99494,0.98507,0.24663,0.11406,0.78083,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,24314.6,0.28595,0.11573,0.8112,0.99373,0.99634,0.99482,0.98439,0.24564,0.11872,0.78079,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,24664.5,0.28459,0.1111,0.81171,0.99538,0.99676,0.99495,0.9852,0.24555,0.10533,0.78125,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,25014.9,0.2862,0.11157,0.81159,0.99781,0.99562,0.99497,0.9855,0.24524,0.09048,0.7812,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,25365.7,0.2832,0.11009,0.81013,0.99669,0.99773,0.99495,0.9858,0.24484,0.09402,0.78106,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,25716.7,0.27943,0.11615,0.81076,0.99527,0.99703,0.99498,0.98575,0.24384,0.09389,0.78075,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,26067.4,0.27999,0.1152,0.80955,0.99694,0.99358,0.99493,0.98572,0.24279,0.09881,0.77983,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,26418,0.27611,0.10807,0.80781,0.99511,0.99564,0.99494,0.98576,0.2421,0.09891,0.77863,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,26768.3,0.27393,0.10829,0.80753,0.9967,0.99564,0.99495,0.98583,0.24178,0.10024,0.77794,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,27119.6,0.27371,0.10688,0.80775,0.99397,0.99328,0.9949,0.98461,0.24181,0.11025,0.7781,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,27470.2,0.27148,0.10402,0.8059,0.99616,0.99538,0.99494,0.98538,0.24204,0.09996,0.77799,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,27820.6,0.2689,0.1032,0.80629,0.99747,0.9959,0.99495,0.98551,0.24225,0.09586,0.77784,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,28170.9,0.27216,0.10542,0.80731,0.9979,0.99681,0.99495,0.9857,0.24184,0.09309,0.7777,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
